Author
Mark P. O. Morford
Robert J. Lenardon
Richard Bruce Wright
Carlo D'Este
Sarah Waters
Anne Frank
Barry Lopez
Greg Palast
Andrea Kane
Nevada Barr
Margaret Maron
Edna Barker
Shelagh Rogers
Muriel Whitaker
John Irving
William Golding
Hermann Stiehl
HarperReference
LTD
Ann Patchett
Lane Smith
Sue Monk
Sue Monk Kidd Kidd
Roseanne J. Serra (Co
Bob Thiele
Bob Golden
Steve Allen
Colleen Mccullough
Joanne Harris
Thomas Cahill
Michael Hudson
Jane Smiley
Dick Francis
Nora Roberts
Jean Marzollo
Walter Wick
Carol Devine Carson
Barbara Delinsky
P. D. James
Arthur W. Upfield
Christopher Rice
Rex Stout
Joan Anderson
Vance Havner
Warren W. Wiersbe
Max Lucado
Larry Crabb
Barry Neil Kaufman
Bob Sjogren
Frederick J. Moody
Neal Pirolo
William Sleator
Antoine De Saint-Exupery
Richard Bach
Kevin Sullivan
Michele Morgan
Scott Cunningham
David Allen Hulse
Richard Webster
Bernard King
Pat Hutchins
William Shakespeare
Roma Gill
Melissa McClone
Cheryl St. John
Lewis Carroll
Martin Gardner
Mark Twain
Mary Crow Dog
Richard Erdoes
Linda Gordon
Florence King
Alice Sebold
Spalding Gray
Thomas Harris
Edward Rutherfurd
Margaret Atwood
Dorothy Allison
Maya Angelou
Edith Wharton
Mary Brave Bird
John G. Neihardt
Vine Deloria Jr.
Roland Warren
Johnny Molloy
James McCourt
Wayne Koestenbaum
Elizabeth Wurtzel
Bill Bradley
Don Miguel Ruiz
Paul Lester
Leo Tolstoy
Simon Nye
Robert A Johnson
Marc Gascoigne
Stephanie Maze
Sandra Dallas
Anne McCaffrey
David Gemmell
Laura Zigman
Margaret Truman
Mark C. Young
Paula Danziger
Tony Ross
Richard A. Lupoff
Bruce Coville
Carrie A. Bebris
Ellen Carol Dubois
Candice F. Ransom
Sam Bobrick
Julie Stein
Price Stern Sloan
Anna
And Vogel
Malvina (Editor) Sewell
Marian Leighton
Donna K. Grosvenor
James L. Stanfield
Mary Wollstonecraft Shelley
D. J. Arneson
Eva Clif
Valerie Block
Luanne Rice
Ellen Gilchrist
Tim Gautreaux
Richard Russo
Jostein Gaarder
Anna Quindlen
Diane Johnson
Wally Lamb
Adeline Yen Mah
Barbara Ehrenreich
Dorothy Dunnett
John LeCarre
Singer Media Corporation
Emily Dickinson
Hazel Harrison
Joseph Girzone
Joseph F. Girzone
Lorraine Anderson
Ad Hudler
Josephine Carlton
Ted L. Nancy
Jerry Seinfeld
Francis Wheen
Ellen Rimbauer
Joyce Reardon
Steven Rimbauer
Sidney Sheldon
Christopher Moore
Pamela Johnson
Robert Lacey
Tim Dorsey
Jodi Compton
Elmore Leonard
Lynn Coady
John Lawton
Eileen Yin-Fei Lo
Tilden Edwards
Vikram Seth
Elizabeth Gaskell
Elizabeth Porges Watson
Anita Diamant
Lauren Haney
Gerald Stern
Martha Grimes
Henry James
Sarah Orne Jewett
William Carlos Williams
Rh Value Publishing
Harry Kemelman
Mil Millington
Suzanne G. Farnham
Joseph P. Gill
R. Taylor McLean
Czeslaw Milosz
Margaret Guenther
Roberto Juarroz
Mary Crow
Hans Kmoch
Barnie F. Winkelman
Emma Mclaughlin
Nicola Kraus
Paul Jennings
Mark E. Neely Jr.
Stephen J. Weininger
Frank R. Stermitz
Larry Katzenstein
David Steinman
Alfie Kohn
Paula Polk Lillard
David Lewis
Billie Livingston
Adele Lang
Jen Banbury
Patricia Daniels Cornwell
Catherine Coulter
Dominick Dunne
Clive Cussler
John Pascal
Carl Hiaasen
Diane Stevenson
Jonathan Safran Foer
Francesca Marciano
Julia Glass
Tawni O'Dell
Jennifer Weiner
Danielle Steel
Leon Hale
Russell Banks
Samuel Taylor Coleridge
BRADLEY P WARSHAUER
Bradley P. Warshauer
Bobbie Ann Mason
Karen Robards
Emma Lathen
Faye Kellerman
Jacquelyn Mitchard
Diane Mott Davidson
Candace Bushnell
Kristin Hannah
Michael Marshall
Allen Widome
Wilbur Smith
Mike Thaler
Jared Lee
Michael Slade
John Sandford
John Camp
Tami Hoag
Ted Dekker
Angela Hunt
C. S. Lewis
C. S Lewis
Will Eisner
Robin Cook
E. Lynn Harris
Linda Goodman
Anne Rice
Judith Rossner
Marilyn French
Wayne W. Dyer
Armistead Maupin
Julie Morgenstern
Peter Straub
James Maybrick
Shirley Harrison
Barbara Taylor Bradford
Lisa Jackson
Sharyn McCrumb
Cokie Roberts
Shana Corey
Mark Teague
Jesse S. Ostrow
Charles Shaw
Justine Korman
Bill Langley
Ron Dias
Walt Disney P
Patricia Reilly Giff
Beverly Cleary
K.A. Applegate
Jane Yolen
Golden Books
Marvin Miller
Craig Boldman
H. G. Wells
Raymond James
Jim Deal
Bobbie Kalman
Mercedes Lackey
Dorothy Gilman
MoveOn.org
Christopher Finch
Charles Frazier
Julia Spencer-Fleming
Fannie Flagg
Laura Ingall Wilder
Brooke Zimmer
John Fontana
Lisa Gardner
Tracy Dockray
Gertrude Chandler Warner
Lynn S. Hightower
Eric Schlosser
Suzanne Brockmann
Gail Carson Levine
Frances Kuffel
Susan Conant
David Schickler
Judith McNaught
JANET EVANOVICH
Sylvia Plath
Ilona Koidahl
Fern Michaels
Betsy Byars
Bruce Sterling
Sarah Ban Breathnach
Alice Hoffman
Lisa Scottoline
Spencer Johnson
Kenneth Blanchard
David Feldman
Kas Schwan
Richard Bausch
Katie Fforde
James Burke
Bliss Broyard
Sara Paretsky
Charles Webb
Elizabeth Benedict
Stanley Morison
Brooke Crutchley (editor)
Mike P
Henry Miller
David Whyte
Thomas Cummings
Warren Bennis
Gretchen M. Spreitze
Martha Beck
Desmond Tutu
Clayborne Carson
Kris Shepard
Andrew Young
Jack Kerouac
Ann Charters
Martin Buber
Walter Kaufmann
Niccol� Machiavelli
N. H. Thompson
Paul Monette
Ernest Hemingway
Melody Carlson
Alisa Kwitney
Billie Letts
Melissa Bank
Rena Kornreich Gelissen
Heather Dune Macadam
Moon Unit Zappa
Ted Mooney
Susan Wiggs
Gwyn Hyman Rubio
Elisabeth Robinson
Audrey Niffenegger
Tim Farrington
Chaim Potok
Scott Spencer
V. S. Naipaul
Jean Giono
Anne-Marie Marina-M�diavilla
Alain-Fournier
Daniel Leuwers
Erich Maria Remarque
Alzir Hella
Olivier Bournac
Roy Lewis
Ren� Barjavel
Alexandra David-N�el
Charles Baudelaire
Marie-Jeanne Durry
Yves Florenn
Jacques Chambon
Henri Robillot
Radiguet
Emile Zola
Henri Mitterand
Willi Glasauer
Louis Pergaud
Collectif
Robert A. (Anson) Heinlein
Sten Nadolny
Cheryl Benard
Edit Schlaffer
Christa Wichterich
John Blofeld
Christine Obbo
Peter B Heim
Hera Lind
Jane Hamilton
Jack Higgins
Max Allan Collins
David Guterson
Bernhard Schlink
Carol Brown Janeway
Eric Jerome Dickey
Patricia Gaffney
Richard Paul Evans
Marc Levy
Laney Katz Becker
Vladimir Nabokov
Jennifer Lauck
Joe Keenan
Jeanne Ray
Tony Parsons
Jane McCafferty
Laura Esquivel
Cathleen Toelke
Carol &amp
Thomas
J.R.R. Tolkien
Venise Berry
Jan Karon
Cormac McCarthy
Carol Higgins Clark
Andrew Gross
Travis Thrasher
John McEnroe
John Kaplan
Sally Mandel
Linda Lay Shuler
Janet Dailey
Claude Lanzmann
Simone De Beauvoir
Lemony Snicket
Brett Helquist
Matthew Thomas
Boris Vian
No�l Arnaud
Claude Couffon
Luis Sepulveda
Hubert Selby
Jacob Weisberg
David Lodge
Lily Seafield
Philip Ardagh
Iain Banks
David Crombie
John Steinbeck
Michael O'Mara
Richard Brassey
William Vance
Jean Van Hamme
R. W. Holder
From The Editors Of Southwater
Bernard Werber
Andy Sloss
Allan Zola Kronzek
Elizabeth Kronzek
Charles L Squire
Gordon Jarvie
Alan Spence
Helene Siegel
Karen Gillingham
A A Milne
A. A. Milne
Eric Thompson
Elizabeth Strout
David Sedaris
Leslie Feinberg
Chris Anne Wolfe
Lauren Sanders
Gael Baudino
Lauren Maddison
Carol Anshaw
Jean Stewart
Emma Donoghue
Deborah E. McDowell
Karen X. Tulchinsky
Jill Thompson
Jody Seay
Manda Scott
Jeff Foxworthy
Terry Brooks
A.C. Crispin
Madelyn Arnold
Tamora Pierce
Carolyn Chute
Sara Orwig
Melisa Michaels
Isobel Bird
Frederik Pohl
C. M. Kornbluth
Vonda McIntyre
John Varley
Nancy Garden
Nicola Griffith
Julie Campbell
Lee Smith
Jacqueline Woodson
Pat Summitt
Richard Belzer
Nick Hornby
Andrew L Johnson
Marian Babson
Kathleen O'Neal Gear
W. Michael Gear
Paul Phifer
Peter Hoeg
Erma Bombeck
John Mortimer
E.L. Doctorow
Simon Schama
Frank Waters
Karen Hesse
Kenneth Oppel
S.D. Schindler
Carol Ryrie Brink
Richard Mantel
K. A. Applegate
Pauline Baynes
Shelly Roberts
Diane Duane
Carolee Brockman
Rachel Roberts
Shelley Roberts
Lensey Namioka
Jackie Eileen Behrend
Andrew Clements
Brian Selznick
Lois Lowry
Brother Yun
Paul Hattaway
Katherine Khodorowsky
Milena Moser
Patricia Highsmith
Gabriele Conrad
Lore Stra�l
J�rgen Speh
Till R. Lohmeyer
Gabriele
Stephen R. Donaldson
Todd Herzog
Sander Gilman
John Borneman
Robert S. McElvaine
Bram Stoker
Michael A. Stackpole
Langston Hughes
Carol Matthews
Carole Matthews
Jacqueline L. Tobin
Raymond G. Dobard
Maude S. Wah
Marion Zimmer Bradley
Andrei Codrescu
Carolyne Aarsen
Jack Chapman
Anthony J Alessandra
Charles R Swindoll
Orson Scott Card
V. A. Howard
J. H. Barton
Steve Pieczenik
Walter P. Wilson
Bruce Fries
Marty Fries
Rush Limbaugh
Anne Dingus
Kate Chopin
Kirk Kazanjian
Donald Merriam Allen
William R. Maples
Michael Browning
Carl Hausman
Richard Peck
Michael Connelly
John Lescroart
John Jakes
Alice McDermott
Hilary Bailey
Howard Fast
Jessica Fletcher
Donald Bain
Eileen Goudge
Arnette Lamb
Piers A. Jacob
Michael Schulte
Walter Cronkite
Tom Mula
Lois Faye Dyer
Sharon Lamb
Sir Arthur Conan Doyle
Agatha Christie
Mark Cohen
Sherry Shahan
Betsy Haynes
Helen R. Myers
Della Rowland
Irving Adler
Elizabeth Peters
Shirlee Busbee
Emily Bront�
Frank Peretti
John A. Keel
Jan Gabriel
Rebecca Winters
Meg Cabot
Tanith Lee
Cathy Thacker
Richard Burton
Beverly Hastings
Savinien Cyrano De Bergerac
G. Strachan
James C. Robertson
Teresa Southwick
Barbara H. Solomon
Judith Guest
Sandra Field
Helen Brooks
Blanche Fisher Wright
Blanche Fish Wright
George Gately
Dean R. Koontz
James Lee Burke
Michael Chabon
Barbara Michaels
Norton Juster
Jules Feiffer
Michael Blake
John Bellairs
Carole Nelson Douglas
William Goldman
Marc Reisner
Mark Bowden
Jonathan Pearce
Emily Bronte
Alain De Botton
Chuck Palahniuk
E. Annie Proulx
Adam Davies
Harry M. Walker
Nicholas Evans
L.M. Montgomery
Hermann Vinke
David Mitchell
Charles Bukowski
Haruki Murakami
Jay Rubin
Frances Hodgson Burnett
Gabriela Dellosso
Patricia C. Wrede
Jack London
Alex Kershaw
Bruce Wilkinson
David Kopp
Malcolm Goodway
Ann-Marie MacDonald
Linda Howard
Sue Miller
Sheri S. Tepper
Dr. Seuss
Theodor Seuss Geisel
Tobias Wolff
Isaac Bashevis Singer
Maurice Sendak
Gary Zukav
Alfred H. Kelly
Herman Belz
Winifred A. Harbison
John M. Cooper
D. S. Hutchinson
John M. Coop
B Kliban
Judy Blunt
William Trevor
Alice Walker
Stephen Gazi
Wallace Stegner
Don DeLillo
Ralph Ellison
Shel Silverstein
Jhumpa Lahiri
Liz Trigg
Tessa Evelegh
Stewart Walton
Sally Walto
Charles Sullivan
Tom Robbins
Ursula Hegi
Samuel Richardson
George Sherburn
Valerie Martin
Gill Farrer-Halls
John Mordock
Myron Korach
Susan Bowes
Diana Gabaldon
Zadie Smith
Natalie Goldberg
Sue Grafton
William J. Kennedy
Bob Shacochis
Randy Alcorn
Nancy Cobb
Connie Grigsby
Margriet De Moor
Helga Van Beuningen
Dale Carnegie
Clifford Stoll
Sandra Cisneros
Gary Paulsen
Marguerite Henry
Wesley Dennis
Sherry Garland
Ann Druyan
Kimberly Kirberger
Ariella Papa
Michael J. Rosen
Dawn Chipman
Pamela Nelson
Mari Florence
Naomi Wax
Shannon Olson
Naylor
Karen Stolz
Clare Naylor
Stephen Chbosky
Margaret Weis
Tracy Hickman
Ivan Doig
Margaret Sayers Peden
Sylvia Nasar
Ha Jin
Elizabeth Laird
Harlan Ellison
Margaret Sayers Peden From The Span
David M. Gitlitz
Dr. Linda Kay Davidson
Wolfgang Hohlbein
Christoph Hein
Gaby Hauptmann
Carolyn See
Christa Wolf
Thomas Brussig
Piers Vitebsky
Christopher A. Weidner
Robert Silverberg
Gabriele Haefs
Christopher Tolkien
H.P. Lovecraft
Pamela Grim
Arthur C. Clarke
Jay Bennett
J. Applegate
Michael J. Straczynski
John Myers Myers
Reay Tannahill
Jack Whyte
Peter Matthiessen
Paul Kent
Robin McKinley
Patricia McKillip
Joan Vinge
James
Hank Whittemore
Caroline Hebard
Ellyn Satter
Bill Brittain
August Wilson
Marilynne Robinson
Sigrid Nunez
Paul Auster
Amanda Scott
John Fowles
Fodor's
A'Lelia Bundles
Dorothy L. Sayers
Jude Deveraux
Anne Morrow Lindbergh
Laurie R. King
Jeanne DuPrau
Louise Erdrich
Melinda Haynes
Belle Yang
Carol Shields
Tim Powers
Jean Lorrah
John Beer
Cordula Swoboda Herzog
Barbara Erskine
Annegrit Arens
Susanne H�bel
Hans J. Alpers
Jerome D. Salinger
Hermann Hesse
Claudia Von Zglinicki
Thorsten Futh
Linda Lael Miller
Anna Jennet
Elaine Crawford
Dian
Jane Feather
William R. Forstchen
Spider Robinson
Dennis L. McKiernan
Rush
Lionel Fenn
Carole Halston
Christine Rimmer
BJ James
Truman Capote
Beth Nimmo
Darrell Scott
Steve Rabey
Johann Wolfgang Von Goethe
Michael Hulse
Michael H
Thomas Elsaesser
Adrian Plass
Bridget Plass
Stephen Quirke
James Herbert
William Sutcliffe
JANOSCH
Jean De Brunhoff
Jean DeBrunhoff
Philippe Fix
Claudia Keller
F. Paul Wilson
Wulf Bergner
Arnold A. Lazarus
Clifford N. Lazarus
Christoph Tr
Clarissa Pinkola Est�s
Mascha Rabben
Virginia Allen Jensen
Dorcas Woodbury Haller
John Paul Allen
Alan M. Clark
Hubert Jr Selby
G. B. Trudeau
Gary Larson
Garrison Keillor
Berke Breathed
Barbara Ann Kipfer
Stephen Fried
George Stephanopoulos
Rita Mae Brown
Elaine Showalter
Elaine Showalte
Cornelia Funke
Oliver Latsch
Stan Lee
J Kirby
Camille Paglia
James Kahn
Devra Newberger Speregen
Richard
James McBride
Louis Sachar
Adam Mccauley
Eric Van Lustbader
Robert Asprin
B.M. Mooyaart
Eleanor Roosevelt
Marshall Govindan
Nomi Eve
Bruce Catton
William Gibson
Clement Eaton
H.G. Wells
Darrell K. Sweet
Judy Collins
Oliver Sacks
Annette Broadrick
Rachel Cohn
Carolyn Keene
Rachel Naomi Remen
Jayne Ann Krentz
Joan Smith
Kaye Gibbons
Bryn C. Collins
Peter Jennings
Todd Brewster
Eliza Osborne
Howard Norman
John Griesemer
Marly A. Swick
John L'Heureux
Molly Ivins
Forrest Carter
Umberto Eco
Greg Bear
Kathy Reichs
Jeffrey Deaver
Martin Cruz Smith
V.C. Andrews
Stephen Hill
E.W. Heine
Donna Fletcher
Jeanne Larsen
Bari Wood
James Gould Cozzens
Reidar Jonsson
Marianne Ruuth
June Vendall Clark
Robert Reilly
Kem Nunn
Larry King
Ernest J. Gaines
Anne Lamott
Bret Lott
Zora Neale Hurston
Jude Fisher
Salman Rushdie
G. P. Taylor
Bill Bryson
Ron Walotsky
Judy Astley
Roger E. Allen
Margaret Tempest
Maureen Bradley
James Barclay
Kahlil Gibran
LIBBY PURVES
Jane Kirkpatrick
Tess Gerritsen
Olive Ann Burns
Michael Ende
Ralph Manheim
Annie Proulx
Corrie Ten Boom
John Sherrill
Elizabeth Sherrill
Bodie Thoene
Brock Thoene
Marlo Schalesky
Michael Paterniti
Dorothy R. Miller
Steve Martin
Banana Yoshimoto
Ann Rae Jonas
Reader's Digest
Joseph Campbell
Bill Moyers
Dyanne Gibson
Isaac Asimov
Edwidge Danticat
JOE R LANSDALE
Arturo Perez-Reverte
Margaret Jull Costa
Sheila O'Connor
Erik Larson
Saul Bellow
Dan Millman
Ned Vizzini
Laurie Halse Anderson
Chris Wooding
Mary McGarry Morris
Brian O'Leary
Meredith Miller
David Peat
L. Ron Hubbard
Jeffery Deaver
Stephen Coonts
John Whitman
Peter Kummer
Sven Regener
Wendy Leigh
Dorothy Sterling
B. K. S. Iyengar
Yehudi Menuhin
Kate Atkinson
Susan M. McIntosh
Thomas Nelson
Diane Muldrow
Robert Bloch
Mollie Molay
Grace Collins
Judy Blume
Jonathan Rabb
Patrick Robinson
Robert T. Bakker
Fred Saberhagen
Richard Moran
Michael DiMercurio
Wilkie Collins
Randall Wallace
Rhoda Huffey
Calvin Trillin
Rachel Simon
Nick Earls
Carol Emshwiller
Edith Konecky
E. A. J. Honigmann
Jonathan Harr
Ayn Rand
Leonard Peikoff
Graham Hough
Alexandre Dumas
Dorothy Garlock
Whitney Otto
Virginia Barber
Edith Grossman
Michael Cunningham
Diane Ackerman
Susan Isaacs
Douglas Preston
Lincoln Child
Kim Stanley Robinson
William Safire
Vincent Torre
Leslie Glass
Cathy Cash Spellman
Grace Slick
Andrea Cagan
Jerry Bledsoe
Jane Sigaloff
Marian Keyes
Melissa Rossi
Jackie Collins
Drew Barrymore
Carrie Alexander
Lori Handeland
Debra Salonen
Deborah Laake
Margaret Way
Marisa Carroll
Eduardo Duran
Bonnie Duran
Dave Eggers
Hernando De Soto
Julie Miller
Jasper Fforde
Wendy Holden
Sebastian Faulks
Sue Margolis
Dora Levy Mossanen
Sheri Holman
Jacqueline Susann
Stephanie Laurens
Jane Mendelsohn
Madge Swindells
Richard Adams
John Colapinto
Ildik� Von K�rthy
John McPhee
Kurt Vonnegut
Veronique Vienne
Erica Lennard
S�ndor M�rai
Heiner Friedlich
Mark A. S. McMenamin
Nancy K Robinson
Jillian Lund
Ann Rinaldi
Scott O'Dell
Thomas Rockwell
Louise Plummer
David J. Duncan
Richard Awlinson
Jeff Easley
John  Sandford
Patricia Kennealy-Morrison
Julie E. Czerneda
Eva Heller
Jan McDaniel
Genell Dellin
Betty Neels
Carole Mortimer
Barbara Dolan
Viveca Carlysle
Judy Jackson
Lewis Orde
Anonymous Teenager
Beatrice Sparks
Peter Mayle
Philip K. Dick
Roger Zelazny
Douglas Kennedy
Robert Louit
Bruno Martin
Aldous Huxley
Edgar Allen Poe
Mark Z. Danielewski
Claro
Makyo
Vicomte
Adams Douglas
Jean Bonnefoy
Albert Camus
Stan Berenstain
Jan Berenstain
A.J. Wood
Sunny Griffin
Richard Kolding
Disney Staff
Pixar Animation Studios Staff
Disney
Maida Silverman
Jean Giraudoux
Antony Mason
Andrew S. Hughes
Jen Green
Lynne Reid Banks
Brock Cole
John Calvin Batchelor
Carolyn Wheat
Dan Simmons
Ros Stanley
R. L. Stine
Steve Skidmore
Steve Barlow
Matt Christopher
Lorelei King
Marilyn Penovich Friend
William D. Bursuck
Brian Herbert
Kevin J Anderson
C. A. Stephens
Stephens
Larry Glatz
Kevin J. Anderson
Stephen Youll
Mary Evans O'Keefe Gravalos
Carol Pulin
Randall Rothenberg
Enos A. Mills
John D. Fitzgerald
Sebastiano Vassalli
Emma Rose
Patrick McGrath
William Kotzwinkle
Vincent Bugliosi
Bruce B. Henderson
Mark Richard
Ben Elton
Ltd Publication International
Mary Doria Russell
MacDonald Harris
Lawrence Goldstone
Nancy Goldstone
Leslie Land
Roger Phillips
Rikki Ducornet
Victor Hugo
Charles E. Wilbour
James K. Robinson
Jennifer Egan
Dodie Smith
Doug Lowe
Arlene Eisenberg
Heidi Murkoff
Sandee Hathaway
Jane Green
Gary Ezzo
Robert Bucknam
Dennis Rainey
Barbara Rainey
David Gardner
Tom Gardner
Sandee Hathaway B.S
R. A. Macavoy
Brooke Stevens
Ann B. Ross
Adriana Trigiani
Bebe Moore Campbell
Barbara Corcoran
Bruce Littlefield
Amy Hassinger
Mia Barron
Erica Jong
Diana Palmer
Rebecca Godfrey
Lois Battle
Allen Ginsberg
Johanna M. Smith
Ann Major
Dallas Schulze
Andrew M. Greeley
Rick Davis
Catholic Church
Alfred McBride
O. Praem
Albert J. McBride
Russell L. Ford
Robertson Davies
Judith Skelton Grant
Bill Watterson
Jacqueline Kasun
Leslie Meier
Corinne T. Netzer
Alice Adams
Buechner
Max Frisch
Thomas Pynchon
Veronika Martenova Charles
Veronika Martenova Char
Doris Pilkington
Stephen Gallagher
Robert Louis Stevenson
Emma Letley
Edwina Currie
Donald A. Mackenzie
Jules Verne
Laurie Lee
John Ward
Sam Siciliano
Joe Haldeman
Leon Uris
Anatoli Boukreev
G. Weston DeWalt
Steve J. Lewis
Len Deighton
Dale L. Anderson
Arden Moore
E. L. Epstein
William J. Mann
Laurell K. Hamilton
James Reese
J. R. R. Tolkien
Judge Judy Sheindlin
Bob Tore
Manil Suri
Victoria Sullivan
James Hatch
Kingsley Amis
Mark Frost
Scott Walker
Catherine Clement
Tobias Scheffel
Uli Aum�ller
Colm Toibin
Joe Weber
Caleb Carr
Stephen Baxter
Augusten Burroughs
Mark Dunn
William Carpenter
John Case
Donna Woolfolk Cross
Jon Krakauer
Michael Ryan
Robert K. Tanenbaum
Judi Lawson Wallace
Ken
Jr. Putnam
